id,name,collection,team,country,role,aim,hs,movement,aggression,acs,gamesense
1,valyn,Base Card,no_team,us,controller,61.65,59.41,67.37,50.44,76.49,83.45
2,jawgemo,Base Card,no_team,kh,duelist,83.33,71.74,77.10,75.14,64.92,72.21
3,trent,Base Card,no_team,us,initiator,68.75,65.88,78.74,74.60,76.78,74.05
4,JonahP,Base Card,no_team,ca,flex,76.04,68.99,76.02,71.87,73.99,69.61
5,leaf,Base Card,no_team,us,flex,81.32,74.92,77.50,73.92,80.83,52.07
6,artzin,Base Card,no_team,br,flex,71.76,67.88,70.61,68.85,69.96,71.12
7,xenom,Base Card,no_team,br,controller,61.05,60.30,68.29,50.63,74.72,78.62
8,cortezia,Base Card,no_team,br,sentinel,73.95,81.34,69.80,56.24,66.37,74.17
9,Verno,Base Card,no_team,us,initiator,69.08,64.31,75.21,70.89,74.75,91.31
10,aspas,Base Card,no_team,br,duelist,89.86,81.28,83.08,86.12,70.80,69.04
11,mitch,Base Card,no_team,us,initiator,68.34,63.41,73.61,70.64,74.87,63.92
12,Xeppaa,Base Card,no_team,us,flex,72.84,68.54,73.21,69.50,72.76,69.38
13,v1c,Base Card,no_team,us,controller,66.07,64.04,72.43,54.33,80.77,71.77
14,neT,Base Card,no_team,us,sentinel,74.01,81.13,71.65,56.00,68.07,76.79
15,OXY,Base Card,no_team,us,duelist,82.93,74.38,82.12,79.64,66.24,48.86
16,Ethan,Base Card,no_team,us,flex,68.63,67.27,71.53,66.44,68.44,82.06
17,s0m,Eternal Heroes,nrg,us,controller,98.12,91.10,96.55,92.69,99.48,102.77
18,brawk,Base Card,no_team,us,initiator,66.99,62.95,72.20,70.35,71.54,73.50
19,mada,Base Card,no_team,ca,duelist,77.58,72.59,75.98,73.01,63.14,68.80
20,skuba,Base Card,no_team,us,controller,71.57,71.42,76.42,59.67,84.97,63.66
21,kiNgg,Base Card,no_team,cl,controller,66.09,65.23,73.78,53.92,77.73,86.67
22,tex,Base Card,no_team,de,sentinel,74.18,85.92,74.21,58.77,68.08,74.35
23,Okeanos,Base Card,no_team,vn,flex,75.62,72.29,72.22,70.43,72.19,60.19
24,Sato,Base Card,no_team,br,duelist,86.69,75.51,81.18,81.57,68.41,55.01
25,C0M,Base Card,no_team,us,initiator,62.82,58.77,69.90,67.33,68.48,69.72
26,heat,Base Card,no_team,br,sentinel,77.77,83.69,71.63,57.19,66.69,74.36
27,Palla,Base Card,no_team,br,duelist,76.43,70.54,72.42,72.37,61.33,49.33
28,Urango,Base Card,no_team,br,flex,64.22,63.54,66.66,60.51,64.26,62.68
29,tuyz,Base Card,no_team,br,controller,59.06,58.76,68.87,50.22,74.05,82.60
30,basic,Base Card,no_team,it,initiator,68.03,62.21,71.97,69.97,73.37,64.10
31,keznit,Base Card,no_team,cl,flex,77.31,73.28,78.45,70.83,75.85,71.86
32,Mazino,Base Card,no_team,cl,flex,75.56,69.38,72.69,70.20,73.67,69.50
33,adverso,Base Card,no_team,cl,initiator,65.42,64.51,73.02,71.32,73.49,61.27
34,Shyy,Base Card,no_team,cl,sentinel,71.73,78.13,68.05,53.71,64.05,68.28
35,Melser,Base Card,no_team,cl,controller,60.38,59.40,67.12,50.25,74.06,84.06
36,johnqt,Base Card,no_team,ma,flex,75.35,73.87,76.20,72.32,78.48,75.07
37,N4RRATE,Base Card,no_team,us,duelist,79.40,72.69,73.69,74.39,66.22,74.82
38,bang,Base Card,no_team,us,controller,65.06,65.86,70.57,53.77,80.10,89.52
39,Zellsis,Base Card,no_team,us,sentinel,65.14,75.27,61.54,49.42,60.15,81.59
40,zekken,Base Card,no_team,us,controller,81.23,80.77,91.89,69.70,98.43,56.02
41,Boostio,Base Card,no_team,us,sentinel,71.59,79.35,68.51,55.72,63.78,72.85
42,zander,Base Card,no_team,ca,controller,61.47,62.05,70.42,50.93,76.14,85.51
43,Cryo,Base Card,no_team,us,duelist,77.89,72.38,78.82,78.79,63.25,65.66
44,eeiu,Base Card,no_team,ca,initiator,67.65,66.70,77.53,73.85,75.22,67.80
45,Asuna,Base Card,no_team,us,flex,75.53,71.44,74.61,72.57,74.78,49.92
46,NaturE,Base Card,no_team,us,flex,72.55,66.95,71.89,69.49,69.70,66.22
47,Derrek,Base Card,no_team,us,initiator,67.80,66.04,75.55,73.45,77.56,64.69
48,supamen,Base Card,no_team,us,controller,64.94,63.53,71.86,54.49,81.01,84.75
49,icy,Base Card,no_team,us,duelist,76.96,69.23,71.45,75.06,63.67,48.12
50,yay,Base Card,no_team,us,sentinel,78.05,84.72,72.90,56.54,67.73,78.69
51,gobera,Base Card,no_team,br,sentinel,74.75,80.35,70.81,55.43,64.52,71.42
52,lz,Base Card,no_team,br,controller,59.63,61.75,68.56,50.80,76.20,80.07
53,spikeziN,Base Card,no_team,br,flex,78.14,73.66,80.61,77.12,78.87,77.56
54,silentz,Base Card,no_team,br,duelist,76.36,72.78,76.22,76.76,64.79,48.30
55,pryze,Base Card,no_team,br,initiator,62.21,61.52,69.96,69.05,71.93,61.98
56,Virtyy,Base Card,no_team,do,duelist,78.50,68.76,74.78,71.55,64.16,53.19
57,RobbieBk,Base Card,no_team,nl,initiator,69.09,67.87,77.36,73.05,78.90,65.56
58,pANcada,Base Card,no_team,br,controller,64.06,64.73,72.83,55.61,83.49,87.74
59,cauanzin,Base Card,no_team,br,initiator,70.63,66.16,72.02,66.70,71.85,65.03
60,lukxo,Base Card,no_team,br,sentinel,80.65,84.53,76.68,58.55,69.22,78.19
61,Boaster,Base Card,no_team,gb,controller,51.74,50.39,57.77,46.58,63.34,82.16
62,crashies,Base Card,no_team,us,initiator,68.69,66.92,74.65,75.15,77.09,66.96
63,kaajak,Base Card,no_team,pl,duelist,88.93,80.33,82.78,81.21,72.11,54.53
64,Chronicle,Base Card,no_team,ru,flex,71.49,70.11,73.22,67.85,71.47,79.25
65,Alfajer,Base Card,no_team,tr,sentinel,83.38,90.68,78.21,63.80,77.82,67.84
66,Leo,Base Card,no_team,se,initiator,70.33,65.61,74.92,72.47,73.58,64.36
67,Boo,Base Card,no_team,lt,controller,62.53,63.08,70.68,51.80,77.03,83.12
68,MiniBoo,Base Card,no_team,lt,duelist,81.22,75.66,79.03,75.88,64.32,65.17
69,Wo0t,Base Card,no_team,tr,duelist,81.65,72.54,78.75,78.42,66.45,67.14
70,RieNs,Base Card,no_team,tr,initiator,70.15,65.78,77.66,75.04,80.52,77.62
71,benjyfishy,Base Card,no_team,england,sentinel,83.12,91.82,78.33,65.04,75.83,50.95
72,nAts,Base Card,no_team,ru,sentinel,81.82,86.38,78.28,62.39,71.55,80.73
73,penny,Base Card,no_team,ca,duelist,73.93,70.55,72.11,69.96,60.59,50.95
74,paTiTek,Base Card,no_team,pl,initiator,67.99,65.76,76.08,73.85,75.76,66.34
75,Keiko,Base Card,no_team,gb,flex,83.66,78.55,82.87,78.08,83.38,48.46
76,kamo,Base Card,no_team,pl,duelist,83.17,74.72,77.19,76.13,64.93,51.67
77,Serial,Base Card,no_team,lv,controller,65.26,64.34,72.19,52.47,77.07,85.35
